customer_id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_32289,34,blue-collar,married,secondary,0,934,0,1,cellular,18,nov,704,2,1,other,0
id_40992,41,blue-collar,married,primary,0,1352,1,0,cellular,13,may,893,2,0,unknown,0
id_41178,57,blue-collar,married,primary,0,495,0,0,cellular,18,aug,796,4,0,unknown,1
id_34750,29,technician,married,secondary,0,265,1,0,cellular,19,aug,795,2,0,unknown,0
id_1406,50,blue-collar,married,secondary,0,407,1,1,cellular,7,aug,807,2,0,unknown,0
id_17866,35,technician,single,secondary,0,5212,1,0,cellular,7,may,899,2,0,unknown,0
id_36237,18,blue-collar,single,secondary,0,420,1,0,cellular,16,apr,920,1,0,unknown,1
id_43255,50,management,married,secondary,0,4873,0,0,telephone,6,feb,989,6,9,failure,0
id_5735,55,blue-collar,married,primary,0,762,0,0,unknown,18,jun,857,1,0,unknown,0
id_12246,42,management,married,tertiary,0,55,1,0,cellular,17,nov,705,1,3,failure,0
id_19188,37,blue-collar,single,primary,0,3,0,0,unknown,5,jun,870,1,0,unknown,0
id_31616,41,technician,married,secondary,0,-3,1,0,cellular,16,apr,920,1,1,failure,0
id_17398,41,services,married,secondary,0,-145,0,1,unknown,6,jun,869,1,0,unknown,0
id_32668,53,retired,divorced,secondary,1,-204,0,1,unknown,6,jun,869,1,0,unknown,0
id_11871,58,blue-collar,married,secondary,0,1,0,1,cellular,22,jul,823,2,0,unknown,0
id_16593,70,retired,divorced,primary,0,479,0,0,cellular,2,jul,843,2,0,unknown,1
id_32623,41,entrepreneur,married,primary,0,150,0,0,cellular,20,aug,794,2,0,unknown,0
id_9411,34,services,single,secondary,0,1038,0,1,unknown,3,jul,842,1,0,unknown,0
id_37166,28,services,single,primary,0,340,0,0,unknown,4,jul,841,3,0,unknown,1
id_34844,38,technician,divorced,secondary,0,528,0,0,cellular,29,jan,997,3,7,failure,0
id_2770,33,admin.,single,secondary,0,54,0,0,cellular,29,jan,997,1,0,unknown,0
id_18544,25,student,single,tertiary,0,192,0,0,cellular,3,apr,933,2,0,unknown,0
id_33225,61,admin.,married,primary,0,882,1,0,cellular,30,jan,996,5,7,failure,0
id_31654,31,admin.,married,secondary,0,93,1,0,cellular,18,may,888,2,1,success,0
id_38719,20,housemaid,single,secondary,0,649,1,0,cellular,14,may,892,1,4,failure,0
id_44317,54,management,married,tertiary,0,1459,0,0,cellular,2,oct,751,2,1,success,1
id_1993,36,admin.,married,secondary,0,-327,1,0,cellular,29,jul,816,8,0,unknown,0
id_16413,64,retired,married,primary,0,50,0,0,cellular,9,sep,774,3,1,success,1
id_14583,32,self-employed,divorced,secondary,0,96,1,0,unknown,17,jun,858,10,0,unknown,0
id_27724,32,management,married,tertiary,0,85,0,0,unknown,14,may,892,6,0,unknown,0
id_22147,34,blue-collar,married,secondary,0,365,1,1,cellular,20,apr,916,2,0,unknown,0
id_42495,48,entrepreneur,married,tertiary,0,358,1,0,unknown,27,may,879,5,0,unknown,0
id_3555,29,management,single,tertiary,0,50,0,1,cellular,31,jul,814,17,0,unknown,0
id_13674,45,technician,married,secondary,0,1672,0,0,cellular,23,oct,730,1,0,unknown,0
id_45069,32,management,married,secondary,0,4136,1,0,cellular,12,may,894,4,0,unknown,0
id_27615,49,blue-collar,married,secondary,0,74,1,0,cellular,11,may,895,1,1,failure,0
id_33551,30,admin.,single,secondary,0,390,1,0,unknown,8,may,898,1,0,unknown,0
id_37184,61,technician,divorced,secondary,0,2738,0,0,cellular,3,feb,992,2,0,unknown,0
id_43038,32,technician,divorced,secondary,0,-5,0,0,cellular,29,jan,997,2,4,other,0
id_10257,30,management,single,tertiary,0,39,1,0,cellular,15,may,891,3,2,other,1
id_5286,27,entrepreneur,single,tertiary,0,218,1,0,cellular,18,may,888,2,1,failure,0
id_41656,41,management,married,secondary,0,449,1,0,unknown,13,may,893,1,0,unknown,0
id_7820,28,blue-collar,married,secondary,0,1783,1,0,unknown,5,jun,870,2,0,unknown,0
id_35295,31,management,married,tertiary,0,184,0,0,cellular,5,feb,990,1,0,unknown,0
id_7224,47,management,married,tertiary,0,4113,0,0,cellular,18,aug,796,13,0,unknown,0
id_22387,45,technician,single,tertiary,0,3428,1,0,cellular,25,jul,820,30,0,unknown,0
id_39733,55,blue-collar,married,secondary,0,70,1,0,unknown,5,may,901,2,0,unknown,0
id_28215,39,blue-collar,single,secondary,0,164,1,0,cellular,20,apr,916,1,1,failure,0
id_6183,35,services,married,secondary,0,0,1,0,cellular,12,jun,863,4,6,failure,0
id_18821,34,admin.,single,secondary,0,1069,0,0,cellular,20,nov,702,2,0,unknown,0
id_41435,31,admin.,single,tertiary,0,699,1,0,cellular,18,may,888,2,0,unknown,0
id_19178,55,unknown,married,primary,0,10,0,0,telephone,19,oct,734,2,0,unknown,0
id_33871,58,blue-collar,single,secondary,0,1187,1,0,cellular,5,feb,990,2,0,unknown,0
id_43113,39,management,married,tertiary,0,46,0,1,cellular,22,aug,792,1,0,unknown,0
id_26311,40,retired,divorced,primary,0,5800,0,0,cellular,13,aug,801,5,0,unknown,0
id_28687,36,admin.,single,secondary,0,143,0,0,cellular,11,jul,834,2,0,unknown,0
id_45185,30,technician,married,unknown,0,-1,0,0,unknown,8,may,898,2,0,unknown,0
id_36265,34,technician,married,tertiary,0,198,0,0,cellular,1,oct,752,1,2,failure,0
id_11209,26,technician,single,secondary,0,249,0,0,cellular,29,jan,997,2,0,unknown,0
id_5448,56,management,divorced,tertiary,0,155,0,0,cellular,13,aug,801,2,0,unknown,0
id_27155,55,management,single,tertiary,0,1100,0,0,telephone,18,aug,796,2,0,unknown,0
id_676,29,management,single,tertiary,0,878,1,0,cellular,16,mar,951,1,2,success,1
id_33356,38,management,married,tertiary,0,729,0,0,cellular,26,aug,788,13,0,unknown,0
id_20274,56,management,married,tertiary,0,4608,0,0,telephone,1,sep,782,2,2,failure,0
id_219,33,admin.,married,secondary,0,114,1,0,telephone,4,feb,991,1,0,unknown,0
id_25653,42,blue-collar,married,primary,0,163,1,0,unknown,29,may,877,6,0,unknown,0
id_35304,58,admin.,married,secondary,0,304,0,1,cellular,8,jul,837,2,0,unknown,0
id_8754,49,services,married,secondary,0,195,1,1,unknown,12,may,894,6,0,unknown,0
id_30553,40,technician,divorced,secondary,0,1335,1,1,cellular,29,jan,997,2,1,failure,0
id_24950,38,management,divorced,tertiary,0,4569,1,1,cellular,16,jul,829,1,0,unknown,0
id_25416,32,services,single,secondary,0,292,1,0,cellular,12,may,894,2,0,unknown,0
id_1385,33,management,single,tertiary,0,-2,0,0,cellular,19,aug,795,4,0,unknown,0
id_6990,45,admin.,divorced,secondary,0,1112,1,0,unknown,15,may,891,1,0,unknown,0
id_27426,38,technician,married,secondary,0,196,1,0,unknown,8,may,898,2,0,unknown,0
id_42873,46,blue-collar,married,unknown,0,388,0,0,unknown,6,jun,869,4,0,unknown,0
id_40926,32,management,married,tertiary,0,0,0,0,cellular,22,aug,792,4,0,unknown,0
id_15656,27,self-employed,married,tertiary,0,1934,0,0,cellular,20,nov,702,1,0,unknown,0
id_26783,29,blue-collar,married,primary,0,198,1,0,unknown,30,may,876,2,0,unknown,0
id_1636,38,blue-collar,married,primary,0,1,0,0,unknown,9,jun,866,1,0,unknown,0
id_30995,45,blue-collar,married,primary,0,681,1,0,unknown,15,may,891,4,0,unknown,0
id_1786,48,services,single,secondary,0,518,1,0,cellular,13,may,893,1,1,failure,0
id_18991,27,admin.,single,secondary,0,68,1,0,cellular,14,may,892,1,3,failure,0
id_32123,53,admin.,married,unknown,0,214,0,0,telephone,17,nov,705,2,0,unknown,0
id_41390,41,services,married,secondary,0,-272,1,0,cellular,28,jul,817,10,0,unknown,0
id_7094,36,admin.,married,secondary,0,18,1,1,cellular,13,oct,740,1,0,unknown,0
id_31592,47,services,divorced,secondary,0,204,1,0,unknown,6,may,900,2,0,unknown,0
id_39684,24,admin.,married,secondary,0,969,1,0,unknown,4,jun,871,1,0,unknown,0
id_34013,62,admin.,married,secondary,0,449,0,0,cellular,22,dec,670,1,9,success,1
id_26848,35,self-employed,married,secondary,0,29122,0,0,unknown,18,jun,857,2,0,unknown,0
id_2017,31,management,married,tertiary,0,5879,0,0,cellular,23,oct,730,1,2,failure,1
id_11492,48,blue-collar,single,secondary,0,2609,1,0,unknown,14,may,892,2,0,unknown,0
id_38687,55,entrepreneur,married,tertiary,0,1956,0,0,cellular,15,dec,677,1,0,unknown,1
id_1189,48,technician,married,secondary,0,142,0,0,cellular,22,aug,792,2,0,unknown,0
id_25904,29,technician,married,secondary,0,341,1,1,cellular,14,may,892,11,0,unknown,0
id_34922,36,management,married,tertiary,0,49,0,0,cellular,29,aug,785,4,0,unknown,0
id_1124,36,management,married,tertiary,0,2123,1,0,cellular,21,jul,824,3,0,unknown,0
id_37137,44,admin.,married,secondary,0,-2,0,0,unknown,26,may,880,3,0,unknown,0
id_7180,52,technician,married,secondary,0,195,1,0,cellular,17,dec,675,2,3,failure,0
id_18435,43,unemployed,single,primary,0,213,0,0,cellular,5,jun,870,3,0,unknown,1
id_16411,34,blue-collar,married,secondary,0,289,1,0,unknown,6,jun,869,2,0,unknown,0
id_17235,45,services,married,secondary,0,6909,0,0,unknown,12,jun,863,2,0,unknown,0
id_432,34,admin.,single,tertiary,0,1535,1,0,cellular,15,may,891,1,5,failure,0
id_26604,31,services,single,secondary,0,1,0,0,cellular,29,jan,997,1,0,unknown,0
id_39819,29,blue-collar,married,primary,0,342,0,0,telephone,20,nov,702,1,0,unknown,0
id_44263,35,blue-collar,single,secondary,0,7124,0,0,unknown,20,jun,855,17,0,unknown,0
